l,categoryLabel,word
http://www.wikidata.org/entity/L26166,nom,croupier
http://www.wikidata.org/entity/L25705,nom,pacte
http://www.wikidata.org/entity/L26024,nom,enclos
http://www.wikidata.org/entity/L25676,nom,blessure
http://www.wikidata.org/entity/L26099,nom,profondeur
http://www.wikidata.org/entity/L25481,nom,matrice
http://www.wikidata.org/entity/L25756,nom,moulin
http://www.wikidata.org/entity/L25774,nom,serpent
http://www.wikidata.org/entity/L26102,nom,ambassadeur
http://www.wikidata.org/entity/L26002,nom,carnet
http://www.wikidata.org/entity/L25489,nom,dissidence
http://www.wikidata.org/entity/L26149,nom,designer
http://www.wikidata.org/entity/L26252,nom,vigneron
http://www.wikidata.org/entity/L25750,nom,duel
http://www.wikidata.org/entity/L25255,nom,alphabet
http://www.wikidata.org/entity/L25740,nom,après-midi
http://www.wikidata.org/entity/L24829,nom,tri
http://www.wikidata.org/entity/L25005,nom,abeille
http://www.wikidata.org/entity/L24831,nom,aval
http://www.wikidata.org/entity/L26259,nom,dénutrition
http://www.wikidata.org/entity/L25585,nom,hirondelle
http://www.wikidata.org/entity/L25603,nom,bitume
http://www.wikidata.org/entity/L26267,nom,aggravation
http://www.wikidata.org/entity/L26232,nom,trio
http://www.wikidata.org/entity/L26120,nom,master
http://www.wikidata.org/entity/L26092,nom,randonneur
